participantID,videoID,condition,time,bad,C3_mu_suppression,C4_mu_suppression,O1_alpha_suppression,O2_alpha_suppression,Central_suppression,Occipital_suppression,rating,targetRating,ratingChange,ratingChangeCategorical,targetRatingChange,targetRatingChangeCategorical,detectChange
104,53v2,audioOnly,159,,-0.339215723,0.262364264,0.517943092,1.516347489,-0.038425729,1.01714529,90,96.66666667,7.5,Increase,6.55,Increase,TRUE
104,53v2,audioOnly,162,,-0.626897795,-1.049822124,0.566395475,1.466337069,-0.83835996,1.016366272,95,98.76666667,5,Increase,2.1,Increase,TRUE
104,53v2,audioOnly,165,,0.040273899,-0.087011377,0.15415068,0.45366721,-0.023368739,0.303908945,92.66666667,94.26666667,-2.333333333,Decrease,-4.5,Decrease,TRUE
104,53v2,audioOnly,168,,-0.179585577,1.188859167,1.00726251,2.241497401,0.504636795,1.624379956,97.66666667,92.56666667,5,Increase,-1.7,Decrease,FALSE
104,53v2,audioOnly,171,,-0.994622575,-0.087011377,0.976354973,1.964259288,-0.540816976,1.47030713,100,95.76666667,2.333333333,Increase,3.2,Increase,TRUE
105,53v2,videoOnly,3,,-0.810930216,-0.980829253,-1.337238204,-0.2591087,-0.895879735,-0.798173452,50,50,-50,Decrease,-45.76666667,Decrease,TRUE
105,53v2,videoOnly,6,,-0.448024723,0.089612159,-2.191653532,-0.858226931,-0.179206282,-1.524940232,50,51.3,0,Maintain,1.3,Increase,FALSE
105,53v2,videoOnly,9,,-0.587786665,-0.098440073,-1.753398601,0.032088315,-0.343113369,-0.860655143,50,45.31666667,0,Maintain,-5.983333333,Decrease,FALSE
105,53v2,videoOnly,12,,0.559615788,0.075223421,-1.52382416,-0.332133835,0.317419605,-0.927978997,46,48.73333333,-4,Decrease,3.416666667,Increase,FALSE
105,53v2,videoOnly,15,,0.054067221,-0.826678573,-1.661025281,-0.80821651,-0.386305676,-1.234620896,47.16666667,54.21666667,1.166666667,Increase,5.483333333,Increase,TRUE
105,53v2,videoOnly,18,,-0.587786665,-0.521296924,-1.044251079,0.042559614,-0.554541794,-0.500845733,47,56.3,-0.166666667,Decrease,2.083333333,Increase,FALSE
105,53v2,videoOnly,21,,0.328504067,-0.015748357,-1.549799646,-0.461345567,0.156377855,-1.005572606,47,59.65,0,Maintain,3.35,Increase,FALSE
105,53v2,videoOnly,24,,-0.364643114,-0.632522559,-1.316184795,-1.154492747,-0.498582836,-1.235338771,47,61.23333333,0,Maintain,1.583333333,Increase,FALSE
105,53v2,videoOnly,27,,-0.117783036,-0.098440073,-1.968509981,-1.154492747,-0.108111554,-1.561501364,44.83333333,63.23333333,-2.166666667,Decrease,2,Increase,FALSE
105,53v2,videoOnly,30,,-0.3254224,-0.267062785,-1.549799646,-1.343734747,-0.296242593,-1.446767196,43,60.43333333,-1.833333333,Decrease,-2.8,Decrease,TRUE
105,53v2,videoOnly,33,,-1.098612289,-0.445311017,-1.337238204,-0.191055237,-0.771961653,-0.76414672,43,47.36666667,0,Maintain,-13.06666667,Decrease,FALSE
105,53v2,videoOnly,36,,-0.875468737,-1.06784063,-1.473813739,-0.715126087,-0.971654684,-1.094469913,43,45.55,0,Maintain,-1.816666667,Decrease,FALSE
105,53v2,videoOnly,39,,0.287682072,-0.791587253,-1.52382416,-0.784118959,-0.25195259,-1.153971559,43,47.35,0,Maintain,1.8,Increase,FALSE
105,53v2,videoOnly,42,,0.266628663,-0.115831816,-2.191653532,-0.671640975,0.075398424,-1.431647254,42.66666667,51.53333333,-0.333333333,Decrease,4.183333333,Increase,FALSE
105,53v2,videoOnly,45,,0.130053128,-0.980829253,-1.690878244,-0.496436886,-0.425388062,-1.093657565,42,54.05,-0.666666667,Decrease,2.516666667,Increase,FALSE
105,53v2,videoOnly,48,,0.177681177,-1.023388867,-0.73303851,-1.302912752,-0.422853845,-1.017975631,42,45.76666667,0,Maintain,-8.283333333,Decrease,FALSE
105,53v2,videoOnly,51,,-1.098612289,-0.470003629,-1.473813739,-0.317095958,-0.784307959,-0.895454848,42,49.48333333,0,Maintain,3.716666667,Increase,FALSE
105,53v2,videoOnly,54,,-0.538996501,-0.575364145,-0.982693186,-1.056052674,-0.557180323,-1.01937293,42,50.68333333,0,Maintain,1.2,Increase,FALSE
105,53v2,videoOnly,57,,-0.028170877,-0.374693449,-1.198401759,-0.317095958,-0.201432163,-0.757748858,42,52.03333333,0,Maintain,1.35,Increase,FALSE
105,53v2,videoOnly,60,,0.30830136,-0.662375522,-1.144334538,-0.394654192,-0.177037081,-0.769494365,42,54.48333333,0,Maintain,2.45,Increase,FALSE
105,53v2,videoOnly,63,,0.054067221,-0.575364145,-2.297014048,-1.120591195,-0.260648462,-1.708802622,42,58.08333333,0,Maintain,3.6,Increase,FALSE
105,53v2,videoOnly,66,,0.15415068,-0.632522559,-1.52382416,-1.343734747,-0.239185939,-1.433779453,42,57.6,0,Maintain,-0.483333333,Decrease,FALSE
105,53v2,videoOnly,69,,-0.149531734,-0.18859117,-1.786188424,-0.551496663,-0.169061452,-1.168842544,47.5,58.05,5.5,Increase,0.45,Increase,TRUE
105,53v2,videoOnly,72,,0.130053128,-0.207639365,-1.603866867,-1.120591195,-0.038793118,-1.362229031,56,58.76666667,8.5,Increase,0.716666667,Increase,TRUE
105,53v2,videoOnly,75,,0.720546155,-0.495321437,-1.576467893,-0.551496663,0.112612359,-1.063982278,58,59.93333333,2,Increase,1.166666667,Increase,TRUE
105,53v2,videoOnly,78,,0.080042708,0.329753286,-1.473813739,-0.671640975,0.204897997,-1.072727357,60,61.98333333,2,Increase,2.05,Increase,TRUE
105,53v2,videoOnly,81,,0.36772478,-1.268511325,-1.093041244,-0.570544858,-0.450393273,-0.831793051,60,64.53333333,0,Maintain,2.55,Increase,FALSE
105,53v2,videoOnly,84,,0.223143551,0.075223421,-1.786188424,-0.650587566,0.149183486,-1.218387995,60,64.2,0,Maintain,-0.333333333,Decrease,FALSE
105,53v2,videoOnly,87,,0.949080555,-0.287682072,-0.805359171,-0.317095958,0.330699241,-0.561227564,60,69.11666667,0,Maintain,4.916666667,Increase,FALSE
105,53v2,videoOnly,90,,0.720546155,0.782759339,-0.633508914,0.196710294,0.751652747,-0.21839931,60,72.53333333,0,Maintain,3.416666667,Increase,FALSE
105,53v2,videoOnly,93,,0.559615788,0.685304003,-0.477855605,0.602175402,0.622459896,0.062159899,60,76.46666667,0,Maintain,3.933333333,Increase,FALSE
105,53v2,videoOnly,96,,1.66875449,-0.352220594,-0.170105969,0.995664319,0.658266948,0.412779175,60,77.56666667,0,Maintain,1.1,Increase,FALSE
105,53v2,videoOnly,99,,0.733969175,0.271933715,-0.938890564,0.547115625,0.502951445,-0.195887469,60,77.58333333,0,Maintain,0.016666667,Increase,FALSE
105,53v2,videoOnly,102,,0,0,-2.142863368,-0.884202417,0,-1.513532893,60,80.25,0,Maintain,2.666666667,Increase,FALSE
105,53v2,videoOnly,105,,0.476924072,0.15860503,-1.786188424,-1.343734747,0.317764551,-1.564961585,60,80.91666667,0,Maintain,0.666666667,Increase,FALSE
105,53v2,videoOnly,108,,0.927340568,0.060624622,-1.337238204,-0.139761942,0.493982595,-0.738500073,60,69.21666667,0,Maintain,-11.7,Decrease,FALSE
105,53v2,videoOnly,111,,0.423814247,0.045809536,-0.442453677,0.853489831,0.234811891,0.205518077,60,53.3,0,Maintain,-15.91666667,Decrease,FALSE
105,53v2,videoOnly,114,,0.606135804,0.131576358,-1.012998536,1.766069983,0.368856081,0.376535724,60,62.03333333,0,Maintain,8.733333333,Increase,FALSE
105,53v2,videoOnly,117,,0.054067221,-0.495321437,-0.780666559,1.18863844,-0.220627108,0.203985941,45.33333333,69.45,-14.66666667,Decrease,7.416666667,Increase,FALSE
105,53v2,videoOnly,120,,1.011600912,-0.18859117,-1.576467893,-0.427444015,0.411504871,-1.001955954,45,76.36666667,-0.333333333,Decrease,6.916666667,Increase,FALSE
105,53v2,videoOnly,123,,0.386772975,0.504556011,-0.612674827,0.534457228,0.445664493,-0.0391088,45,78.55,0,Maintain,2.183333333,Increase,FALSE
